Episode Number,Total Reward,Running Average,p,i,d,joint index
1,-6.875970944677529,-6.875970944677529,731.4715576171875,9.999654366765753e-07,102.04003143310547,1
2,-6.8844056373391185,-6.876055291604144,730.0996704101562,9.999616850109305e-07,102.22567749023438,1
3,-6.9036042683316845,-6.87633078137142,730.2096557617188,9.999540679928032e-07,102.19005584716797,1
4,-6.813869252197794,-6.875706166079683,736.5350341796875,9.999569101637462e-07,101.32091522216797,1
5,-6.645966459991241,-6.873408769018798,750.9089965820312,9.999569101637462e-07,99.52288055419922,1
6,-6.536773667998905,-6.8700424180086,764.2241821289062,9.999569101637462e-07,97.07022094726562,1
7,-6.550635663073169,-6.866848350459246,761.8693237304688,9.999569101637462e-07,95.7037353515625,1
8,-6.585424770942311,-6.864034114664077,759.17626953125,9.999569101637462e-07,92.95330810546875,1
9,-6.725401919480951,-6.862647792712245,746.077880859375,9.999673693528166e-07,90.10125732421875,1
10,-7.027364816503169,-6.864294962950154,721.0781860351562,9.999664598581148e-07,87.2205581665039,1
11,-7.528427642032318,-6.870936289740976,682.1421508789062,9.999616850109305e-07,85.22431182861328,1
12,-8.247305010078854,-6.884699976944354,635.9607543945312,9.999616850109305e-07,83.34112548828125,1
13,-9.457821063158722,-6.9104311878064975,575.8517456054688,9.999625945056323e-07,81.11066436767578,1
14,-11.3552253239742,-6.954879129168175,508.37493896484375,9.999616850109305e-07,79.2692642211914,1
15,-15.027443201468692,-7.0356047698911794,423.43756103515625,9.999616850109305e-07,80.05518341064453,1
16,-20.730828894399384,-7.172557011136261,343.4923400878906,9.999454277931363e-07,82.18338775634766,1
17,-31.415009867903805,-7.414981539703937,259.7077331542969,9.990933449444128e-07,93.92111206054688,1
18,-35.2552415306777,-7.693384139613674,240.41131591796875,9.98583573164069e-07,94.64000701904297,1
19,-37.04590935962505,-7.9869093918137875,232.45155334472656,9.98397013063368e-07,93.70218658447266,1
20,-38.76045511259331,-8.294644849021584,225.78663635253906,9.980733466363745e-07,93.07403564453125,1
21,-40.48898862474001,-8.616588286778768,219.26304626464844,9.9778117146343e-07,92.31049346923828,1
22,-42.83126550406432,-8.958735058951625,210.91468811035156,9.973673513741232e-07,91.6250228881836,1
23,-44.54136963680081,-9.314561404730117,205.906494140625,9.972987982109771e-07,89.53945922851562,1
24,-46.533238703088685,-9.686748177713703,200.05294799804688,9.969098755391315e-07,88.6785659790039,1
25,-48.20902798722773,-10.071970975808844,195.1249542236328,9.96393850982713e-07,88.44841003417969,1
26,-48.653264452174874,-10.457783910572504,195.2083282470703,9.962712965716491e-07,87.06805419921875,1
27,-47.186879959984445,-10.825074871066624,199.3809814453125,9.962702733901097e-07,85.86239624023438,1
28,-44.96757257022921,-11.16649984805825,206.5002899169922,9.961933074009721e-07,85.64362335205078,1
29,-42.45459400588746,-11.479380789636542,213.93955993652344,9.95494247035822e-07,87.3365478515625,1
30,-39.7135823108551,-11.761722804848727,223.53057861328125,9.949144441634417e-07,88.67742919921875,1
31,-36.4097379718744,-12.008202956518984,237.43612670898438,9.949922059604432e-07,88.47604370117188,1
32,-34.25006088815086,-12.230621535835303,246.1154327392578,9.937594995790278e-07,91.71410369873047,1
33,-31.12153186354344,-12.419530639112384,260.561279296875,9.929967745847534e-07,94.17115783691406,1
34,-29.104510282080636,-12.586380435542067,271.7464294433594,9.919273225023062e-07,97.94652557373047,1
35,-26.843169078203744,-12.728948321968684,284.24334716796875,9.908569609251572e-07,102.60547637939453,1
36,-24.875887721514403,-12.85041771596414,298.7143249511719,9.90027615443978e-07,106.58963775634766,1
37,-22.850780733239738,-12.950421346136896,313.3251647949219,9.890784440358402e-07,111.96905517578125,1
38,-20.882933497434003,-13.029746467649867,331.1482238769531,9.882363656288362e-07,117.73619079589844,1
39,-19.115242854558808,-13.090601431518955,348.6359558105469,9.87503426586045e-07,123.44696807861328,1
40,-17.561847660364577,-13.13531389380741,367.0457763671875,9.867794688034337e-07,129.83572387695312,1
41,-15.930659168409882,-13.163267346553434,390.6854248046875,9.8625173450273e-07,136.1951446533203,1
42,-14.342046931831785,-13.175055142406219,418.7862854003906,9.85876454251411e-07,141.35787963867188,1
43,-12.163253001081793,-13.164937120992974,468.8381042480469,9.859018064162228e-07,142.9630126953125,1
44,-10.392706539762012,-13.137214815180664,525.3480224609375,9.859742249318515e-07,143.66360473632812,1
45,-8.946049066435751,-13.095303157693216,586.9918823242188,9.860232239589095e-07,144.995361328125,1
46,-7.599725861476258,-13.040347384731046,666.796142578125,9.860635827863007e-07,144.55783081054688,1
47,-6.502375460003611,-12.97496766548377,757.0352783203125,9.86071199804428e-07,143.35935974121094,1
48,-5.896721664898442,-12.904185205477917,828.5122680664062,9.86071199804428e-07,143.3763885498047,1
49,-5.297844530524623,-12.828121798728384,915.57080078125,9.860796126304194e-07,140.73785400390625,1
50,-4.89814151188434,-12.748821995859943,993.6744384765625,9.860879117695731e-07,140.14036560058594,1
51,-4.552182263251358,-12.666855598533857,1073.249755859375,9.860935961114592e-07,139.5225372314453,1
52,-4.283647202899358,-12.583023514577512,1155.19482421875,9.860946192929987e-07,138.70986938476562,1
53,-4.037501960303802,-12.497568299034775,1251.2786865234375,9.86102236311126e-07,136.14715576171875,1
54,-3.8319560059871636,-12.410912176104299,1343.2322998046875,9.861106491371174e-07,135.1741180419922,1
55,-3.6942689755341838,-12.323745744098598,1422.3681640625,9.86133272817824e-07,133.5133819580078,1
56,-3.589711687556589,-12.236405403533178,1490.989990234375,9.861322496362845e-07,134.12539672851562,1
57,-3.4648590240954666,-12.148689939738802,1587.2650146484375,9.86133272817824e-07,132.31231689453125,1
58,-3.3633177588618395,-12.060836217930031,1678.416748046875,9.86133272817824e-07,132.11196899414062,1
59,-3.273974590049333,-11.972967601651224,1773.7296142578125,9.86140662462276e-07,131.41856384277344,1
60,-3.2136991997985356,-11.885374917632697,1851.71435546875,9.861519174592104e-07,130.55270385742188,1
61,-3.148010884811026,-11.798001277304481,1942.1416015625,9.861519174592104e-07,130.12921142578125,1
62,-3.081456128332859,-11.710835825814765,2055.894287109375,9.861519174592104e-07,130.11624145507812,1
63,-3.035937997145896,-11.624086847528076,2142.888671875,9.861360013019294e-07,130.9432373046875,1
64,-2.9924084773784307,-11.53777006382658,2239.080322265625,9.861369107966311e-07,129.96971130371094,1
65,-2.955408507968029,-11.451946448267995,2337.125732421875,9.861425951385172e-07,129.31517028808594,1
66,-2.923103894069401,-11.366658022726009,2432.50439453125,9.861510079645086e-07,128.3070068359375,1
67,-2.89503532638433,-11.281941795762592,2515.2373046875,9.861547596301534e-07,127.96631622314453,1
68,-2.872124344874218,-11.197843621253709,2589.661376953125,9.861547596301534e-07,127.24297332763672,1
69,-2.85995154573226,-11.114464700498495,2646.6162109375,9.861556691248552e-07,126.75137329101562,1
70,-2.852980113763993,-11.031849854631151,2669.077880859375,9.861510079645086e-07,126.95860290527344,1
71,-2.83996070101159,-10.949930963094955,2711.6396484375,9.861510079645086e-07,126.35574340820312,1
72,-2.8298837011329327,-10.868730490475334,2765.977783203125,9.861547596301534e-07,125.74908447265625,1
73,-2.8166325916456145,-10.788209511487036,2819.21142578125,9.861547596301534e-07,125.27079772949219,1
74,-2.8020855416460195,-10.708348271788626,2896.250732421875,9.861547596301534e-07,124.09581756591797,1
75,-2.787607979954422,-10.629140868870284,2969.181884765625,9.861595344773377e-07,122.70094299316406,1
76,-2.7739657951800516,-10.55058911813338,3034.1796875,9.861595344773377e-07,121.8376693725586,1
77,-2.7704430815238714,-10.472787657767286,3060.73095703125,9.861585112957982e-07,121.93810272216797,1
78,-2.7651159188564,-10.395710940378176,3112.65673828125,9.861585112957982e-07,121.40190887451172,1
79,-2.7537110817786217,-10.31929094179218,3170.511962890625,9.861585112957982e-07,121.05835723876953,1
80,-2.7395395867072456,-10.243493428241331,3272.477783203125,9.861585112957982e-07,119.28266906738281,1
81,-2.7279801277130096,-10.168338295236047,3378.467041015625,9.86165105132386e-07,117.35091400146484,1
82,-2.718109445073836,-10.093836006734424,3449.628662109375,9.86165105132386e-07,116.4207992553711,1
83,-2.710549963695387,-10.020003146304035,3512.068359375,9.86165105132386e-07,116.07927703857422,1
84,-2.703457510772727,-9.94683768994872,3582.789794921875,9.86165105132386e-07,115.80699920654297,1
85,-2.6997246276177536,-9.874366559325411,3617.82177734375,9.861604439720395e-07,115.7763442993164,1
86,-2.6927433874250526,-9.802550327606408,3654.3388671875,9.861604439720395e-07,115.60792541503906,1
87,-2.6907611607683672,-9.731432435938027,3710.042724609375,9.861604439720395e-07,115.17819213867188,1
88,-2.682155507514601,-9.660939666653793,3786.1728515625,9.861604439720395e-07,114.68976593017578,1
89,-2.673238028038057,-9.591062650267634,3887.142333984375,9.861604439720395e-07,113.55961608886719,1
90,-2.672271753344083,-9.521874741298397,3924.113037109375,9.861604439720395e-07,114.14501190185547,1
91,-2.6694098536272564,-9.453350092421687,3988.13330078125,9.861604439720395e-07,113.83892822265625,1
92,-2.6645456001851704,-9.385462047499322,4023.36669921875,9.861604439720395e-07,114.36947631835938,1
93,-2.6638047271304877,-9.318245474295635,4067.57958984375,9.861604439720395e-07,114.55361938476562,1
94,-2.6556542771469487,-9.251619562324148,4158.56689453125,9.861604439720395e-07,113.55912780761719,1
95,-2.6492943666316333,-9.185596310367222,4252.26220703125,9.861604439720395e-07,112.52394104003906,1
96,-2.644642205610006,-9.12018676931965,4352.32177734375,9.861604439720395e-07,111.49116516113281,1
97,-2.6380319662620844,-9.055365221289074,4474.05224609375,9.861604439720395e-07,109.94348907470703,1
98,-2.6318939286064724,-8.991130508362247,4557.66748046875,9.86165105132386e-07,109.34009552001953,1
99,-2.6317252582077586,-8.9275364558607,4584.4462890625,9.86165105132386e-07,109.3984603881836,1
100,-2.6303311822061417,-8.864564403124154,4646.3056640625,9.86165105132386e-07,109.06755065917969,1
101,-2.626002291927812,-8.80217878201219,4746.56982421875,9.86165105132386e-07,108.01376342773438,1
102,-2.622038344421195,-8.74037737763628,4857.34765625,9.86165105132386e-07,106.71117401123047,1
103,-2.6158841624218994,-8.679132445484138,4940.37060546875,9.86165105132386e-07,105.94751739501953,1
104,-2.6146854681012632,-8.618487975710309,5013.87939453125,9.86165105132386e-07,105.47953033447266,1
105,-2.6104323461584187,-8.55840741941479,5120.64013671875,9.86165105132386e-07,104.51710510253906,1
106,-2.6059898799823014,-8.498883244020464,5233.7255859375,9.86165105132386e-07,103.33982849121094,1
107,-2.60319714946647,-8.439926383074923,5329.0126953125,9.86165105132386e-07,102.90769958496094,1
108,-2.6007414935046667,-8.38153453417922,5410.79541015625,9.86165105132386e-07,102.68736267089844,1
109,-2.596189587994533,-8.323681084717373,5554.009765625,9.86165105132386e-07,101.71243286132812,1
110,-2.592927516427866,-8.266373549034478,5709.61083984375,9.86165105132386e-07,100.58114624023438,1
111,-2.589693812340007,-8.209606751667534,5790.9853515625,9.86161467153579e-07,100.42951202392578,1
112,-2.5885142886943164,-8.153395827037803,5916.8427734375,9.86161467153579e-07,99.77299499511719,1
113,-2.585111624273268,-8.097712985010157,6034.37646484375,9.86161467153579e-07,99.49317169189453,1
114,-2.5829811565657566,-8.042565666725713,6212.4169921875,9.86161467153579e-07,98.61178588867188,1
115,-2.5775075324590464,-7.987915085383046,6403.45556640625,9.86161467153579e-07,97.56513214111328,1
116,-2.5765532924917145,-7.933801467454132,6530.56201171875,9.86165105132386e-07,97.18893432617188,1
117,-2.5732455135114978,-7.880195907914706,6727.6748046875,9.861754506346188e-07,95.49263000488281,1
118,-2.5705955691435998,-7.827099904526994,6804.27197265625,9.861848866421496e-07,95.28013610839844,1
119,-2.571319328851745,-7.774542098770241,6900.4970703125,9.861754506346188e-07,95.06053161621094,1
120,-2.5706468788450545,-7.722503146570989,7035.79248046875,9.861782928055618e-07,94.29190063476562,1
121,-2.565325979386805,-7.670931374899147,7215.4912109375,9.861782928055618e-07,93.27943420410156,1
122,-2.564187192044338,-7.619863933070599,7355.17333984375,9.86174541139917e-07,92.96624755859375,1
123,-2.5624579628520183,-7.569289873368413,7556.8525390625,9.86174541139917e-07,91.83536529541016,1
124,-2.563061899092302,-7.519227593625652,7560.017578125,9.86164309324522e-07,92.63600158691406,1
125,-2.561899843386183,-7.469654316123257,7698.95654296875,9.86165105132386e-07,92.0736312866211,1
126,-2.5626992628426697,-7.42058476559045,7741.81494140625,9.861623766482808e-07,92.53199768066406,1
127,-2.559563549295966,-7.371974553427505,7856.41455078125,9.861585112957982e-07,92.01509094238281,1
128,-2.558967119702184,-7.323844479090252,7995.56884765625,9.861585112957982e-07,91.31926727294922,1
129,-2.560779300130814,-7.276213827300658,8054.5908203125,9.861547596301534e-07,91.51434326171875,1
130,-2.557313836901966,-7.229024827396671,8174.4990234375,9.861547596301534e-07,91.04234313964844,1
131,-2.5574700755085535,-7.18230927987779,8283.6455078125,9.861547596301534e-07,90.6080551147461,1
132,-2.556590449777197,-7.136052091576785,8342.9794921875,9.861547596301534e-07,90.8411865234375,1
133,-2.554356839268475,-7.090235139053702,8554.7763671875,9.861547596301534e-07,89.91130065917969,1
134,-2.5525632185781504,-7.0448584198489455,8791.7646484375,9.861547596301534e-07,89.0455551147461,1
135,-2.552301447802467,-6.999932850128481,8984.1318359375,9.861547596301534e-07,88.36511993408203,1
136,-2.551228838569267,-6.955445810012889,9027.8486328125,9.861547596301534e-07,89.46592712402344,1
137,-2.553108950531584,-6.911422441418076,9107.978515625,9.861585112957982e-07,89.71151733398438,1
138,-2.550752567022749,-6.867815742674123,9171.888671875,9.861585112957982e-07,89.86539459228516,1
139,-2.5490194851935404,-6.824627780099317,9287.521484375,9.861585112957982e-07,89.78363037109375,1
140,-2.5504699602379945,-6.781886201900704,9365.4892578125,9.861585112957982e-07,90.07982635498047,1
141,-2.549979546174098,-6.739567135343438,9454.619140625,9.861585112957982e-07,90.4614486694336,1
142,-2.5485540576755845,-6.697657004566759,9477.947265625,9.861519174592104e-07,91.42121887207031,1
143,-2.5484300585782917,-6.656164735106874,9580.67578125,9.861576018010965e-07,91.02589416503906,1
144,-2.547983315787952,-6.615082920913684,9825.8310546875,9.861670378086274e-07,90.53821563720703,1
145,-2.548291836764231,-6.574415010072189,9895.3154296875,9.861670378086274e-07,90.49346923828125,1
146,-2.5469887301841525,-6.53414074727331,10017.564453125,9.861670378086274e-07,90.1987075805664,1
147,-2.5469025848241755,-6.494268365648819,10057.6259765625,9.861670378086274e-07,90.9216537475586,1
148,-2.5457345281323382,-6.454783027273654,10354.52734375,9.861670378086274e-07,90.97157287597656,1
149,-2.5454397250128484,-6.415689594251046,10571.8916015625,9.861585112957982e-07,91.18855285644531,1
150,-2.543135618637573,-6.376964054494911,10855.8515625,9.861679473033291e-07,90.83958435058594,1
151,-2.543793524206178,-6.338632349192023,10976.046875,9.86164309324522e-07,90.31279754638672,1
152,-2.543069324076717,-6.300676718940871,10955.0791015625,9.861604439720395e-07,90.84019470214844,1
153,-2.5429421187023826,-6.263099372938486,11006.2763671875,9.861754506346188e-07,90.7544174194336,1
154,-2.5433413126575912,-6.225901792335677,11162.5439453125,9.861764738161582e-07,89.84127044677734,1
155,-2.542121530248344,-6.189063989714803,11293.1123046875,9.861764738161582e-07,89.3669662475586,1
156,-2.541385116081334,-6.152587200978469,11353.0107421875,9.861726084636757e-07,89.69351196289062,1
157,-2.541699416899771,-6.116478323137682,11394.9462890625,9.861679473033291e-07,89.88240814208984,1
158,-2.541560934925215,-6.080729149255557,11465.2001953125,9.86165105132386e-07,89.77969360351562,1
159,-2.541359633679398,-6.045335454099795,11562.861328125,9.86165105132386e-07,89.51367950439453,1
160,-2.5417694022939488,-6.010299793581736,11597.12890625,9.86165105132386e-07,90.06139373779297,1
161,-2.5410297720532906,-5.975607093366452,11767.2490234375,9.86171698968974e-07,89.41577911376953,1
162,-2.5401813406890943,-5.941252835839678,11902.34765625,9.861867056315532e-07,88.85198211669922,1
163,-2.5401481449171577,-5.9072417889304525,12038.8349609375,9.861979606284876e-07,88.35546875,1
164,-2.5388800965590885,-5.873558172006739,12127.669921875,9.861979606284876e-07,88.1976547241211,1
165,-2.5384958161408173,-5.840207548448079,12129.7998046875,9.86192503660277e-07,88.75611114501953,1
166,-2.540104065316513,-5.807206513616763,12251.205078125,9.861905709840357e-07,88.54217529296875,1
167,-2.539908184189427,-5.77453353032249,12331.7705078125,9.861877288130927e-07,88.7906494140625,1
168,-2.539482707960778,-5.742183022098873,12679.0849609375,9.861877288130927e-07,87.0892333984375,1
169,-2.5376507826945733,-5.71013769970483,12964.111328125,9.8619534583122e-07,85.90281677246094,1
